Gaelg
*Greetings|Bannaghtyn
That is only a side issue.|Cha nel shen agh fo-chooish.
That is quite immaterial to me.|S'cummey shen dou.
That is the heart of the matter.|Ta shen bun y chooish.
That is the express image of him.|Ta shen yn eer-chaslys jeh.
That is the actual house.|Ta shen yn thie hene.
That was the beginning of summer.|Va shen toshiaght y touree.
That was the beginning.|Va shen yn toshiaght.
That was the appropriate thing to say.|Va shen yn red cooie dy ghra.
That was the correct thing to do.|Va shen yn reih red dy yannoo.
That was the right thing to do.|Va shen y jeih red dy yannoo.
That was the idea of one.|Va shen eie unnane.
That was the day of my birth.|Va shen yn laa rug mee.
That was enough for me.|B'liooar shen dou.
That was an eye-opener for her.|Doshil shen ny sooillyn eck.
That was laid to his charge.|Va shen er ny lhiassaghey da.
That was not written by me.|Cha row shen scruit aym.
That was the smallest nation.|Va shen yn ashoon by loo.
That will assuage him.|Ver shen aash er.
That will aid him.|Ver shen couyr da.
That will age him.|Ver shen eash er.
That will be a fatal mistake.|Bee shen marran mooar agglagh.
That will bring him to his senses.|Ver shen keeall ayn.
That will bear him up.|Ver shen cree ayn.   
That will be the decisive battle.|Bee shen yn ard-chah.
That will affect you.|Nee shen bentyn rhyt.
That was uppermost in my mind.|Va shen y red smoo va cur imnea orrym.
That was touch and go with us.|Dobbyr dooin.
That was told to me.|Va shen er ny insh dou.
That which I have written.|Shen ny ta scruit aym.
That will advance our cause.|Ver shen er e hoshiaght nyn gooish.
That will add to their income.|Bishee shen yn cheet-stiagh oc.
That which was lightest.|Shen by eddrym.
That suits me to a T.|Ta shen cooie dou magh as magh.
That suits me to a T.|Ta shen cooie dou erskyn insh.
That suits me.|S'cooie shen dooys.
That supports the floor.|Ta shen gymmyrkey y laare.
That thing still threatens us.|Ta'n red shen foast baggyrt orrin.
That the clergy do their duty.|Dy jean yn chlere nyn gurrym.
That story is easy to tell.|Ta'n skeeal shen so-insh.
That son of ours.|Yn mac shen ain.
That son of mine.|Yn mac shen aym.
That son of hers.|Yn mac shen eck.
That son of theirs.|Yn mac shen oc.
That stopped the war.|Hug shen jerrey er y chaggey.
That spoiled his digestion.|Vill shen y gailley echey.
That son of yours.|Yn mac shen ayds.
That thought is next door to madness.|Ta'n smooinaght shen bunnys keoieys.
That was a near go.|Dobbyr dooin.
That was a good description of Scotland.|Va shen coontey mie jeh'n Albin.
That was a pleasant experience for me.|Ghow mee taitnys ass shen.
That was an eventful day.|Va shen laa mooar.
That was an awful do.|Va shen red agglagh.
That was a funny story.|Va shen skeeal aitt.
That time has gone by.|Ta'n traa shen shaghey.
That time has gone by.|Ta'n traa shen er n'gholl shaghey.
That was a disastrous day.|Va shen laa doo.
That's very worrying for him.|Ta shen feer voiragh da.
That's true in itself.|Ta shen feer ayn hene.
That's what I represent.|She son shen ta mee shassoo.
That's where the mistake comes in.|Ta shen y boayl raad ta'n marranys ayn.
That's where he scores.|Ayns shen ta'n varriaght echey.
That's the cause of the trouble.|Ta shen moir y voirey.
That's the crux of the matter.|Ta shen cree ny cooish.
That's the fact of the matter.|Ta shen bree yn skeeal.
That's the exact word.|Ta shen yn fockle kiart.
That's the drill.|Ta shen yn aght.
That's some of Tom's doings.|She obbyr Hom eh shen.
That's public property.|Ta fys er shen ec moddee y valley.
That's outside the question.|Cha nel shen bentyn rish y skeeal.
That's only feigning.|Cha nel shen agh myr yein.
That's rather a lot for me.|Ta shen red beg rour dooys.
That's so, he agreed.|S'feer shen, as eshyn.
That's saying a great deal.|Ta shen gra mooarane.
That's the identical thing.|Ta shen yn jarroo red.
That's the very thing I wanted.|Ta shen yn red hene va mee geearree.
That's the whole thing in a nutshell.|Ta shen y clane skeeal ayns un 'ockle.
That's too dear.|Ta shen roud.
That's the nearest approach to it.|Ta shen yn red sniessey da.
That's the lot.|Shen ooilley.
That's the last thing that's worrying me.|Ta shen yn red s'loo ta dy my voirey.
That's the same thing.|Ta shen yn un red.
That's the same thing.|Ta shen yn red cheddin.
Suppose you are right.|Dy beagh yn chiart ayd.
Sunny shower.|Frass gial.
Take cover.|Gow fastee.
Take council of your own pillow.|Caddil er.
Take care of it.|Gow kiarail jeh.
Take him about the town.|Gow eh mygeayrt y valley.
Take it away.|Gow ersooyl eh.
Take into confidence.|Yn folliaght y lhiggey da.
Take it, it would be foolish not to.|Gow eh, veagh ommidjagh gyn goaill eh.
That always troubled me.|Ren shen rieau boirey orrym.
That alters the case.|Ta shen skeeal elley.
That belies what I said.|Ta shen cur y vreag er shen ny dooyrt mee.
That advice was ill-advised.|By ghonney y choyrle shen.
Tell us your honest opinion.|Insh dooin dty varel ynrick.
That holds true.|Ta shen yn irriney.
That is all there is to it.|Shen ooilley ny t'ayn.
That is applicable in this case.|Ta shen cooie 'sy chooish shoh.
That is even more conjectural.|Ta shen eer ny smoointee.
That is easy to understand.|Ta shen so-hoiggal.
That is diametrically opposed to the truth.|Ta shen kiart noi yn irriney.
That is a step forward.|Ta shen keim er oaie.
That is a matter of course.|Shen my vees eh.
That is a nice situation.|Ta shen boayl mie.
That custom is fast disappearing.|Ta'n cliaghtey shen goll ass dy tappee.
That comes before this.|Ta shen cheet roish shoh.
That cuts both ways.|Ta daa heu er y skeeal shen.
That disgusts me.|Ta shen cur feoh orrym.
That deterred me a bit.|Ren shen dy my chumrail red beg.
That cannot be.|Cha nod shen er ve. 
That gets on my nerves.|Ta shen cur y drogh orrym.
That gets on my nerves.|Ta shen dy my voirey.
That doesn't come within my duties.|Cha nel shen fo my churrym.
That doesn't appeal to me.|Cha nel shen dy my hayrn.
That doesn't appeal to me.|Cha nel monney foays aym er shen.
That doesn't count.|Cha n'eeu shen.
That fairly stumped him.|Hug shen ny host eh.
Take notice of this.|Gow tastey jeh shoh.
Take my advice.|Gow my choyrle.
Tell me a story.|Insh skeeal dou. 
Tell me the when and the how of it.|Insh dou cuin as kanys haghyr eh.
There is a link between them.|Ta boandey eddyr oc.
There is a lot between right and wrong.|Smoo ta eddyr y chair as yn aggair.
There is a little community there.|Ta eggys beg ayns shen.
There is a coldness between them.|Cha nel ad feer vooar er y cheilley.
There is a close resemblance between them.|T'ad feer gollrish y cheilley.
There is a fly in the ointment.|Ta breck 'sy vainney.
There are certain things.|Ta reddyn ayn.
There are bonds between them.|Ta nastaghyn eddyr oc.
There are many variations.|Ta ymmodee ceaghlaghyn ayn.
There are some things we cannot help.|Ta reddyn ennagh ayn nagh vel niart ain orroo.
There are some others.|Ta paart elley ayn.
There are things and things are affecting.|Ta reddyn ayn as ta reddyn goaill.
There are three bottles left.|Ta tree costraaylyn er mayrn.
There are those that say he is dead.|Ta sleih ayn ta gra dy vel eh marroo.
There are precious few of them left now.|S'tiark ad nish t'ayn myr te.
There are no two ways about it.|Cha nel noon as noal ayn.
There are no two ways about it.|Cha nel aght erbee elley ayn.
There are no facilities here.|Cha nel seyraadyn erbee ayns shoh.
There are people who still believe that.|Ta sleih ayn ta foast credjal shen.
There are others who do not do it.|Ta cagh ayn nagh vel jannoo eh.
The worst of it is that I am not wanted there.|She'n chooish smessey jeh eh nagh vel mee ry laccal aynshen.
The wet season.|Yn imbagh fliugh.
The wet season.|Yn imbagh fliaghee.
The wine is extra.|Ta tooilley argid er y feeyn.
The winter snows will come.|Hig sniaghtaghyn y gheuree.
The wolf mauled him.|Ren y moddey oaldey eh y lhuddyral.
The witching time of night.|Traa marroo ny hoie.
The wire is alive.|Ta'n streng bio.
The wine does not agree with him.|Ta'n feeyn boirey er y volg echey.
The window faces north.|Ta'n uinnag jeeaghyn lesh y twoaie.
The wind was moving the trees.|Va'n gheay craa ny biljyn.
The wind kept the rain off.|Hug y gheay lhiettrimys er y 'liaghey.
The windward side.|Cheu ny geayee.
The window opens to the outside.|Ta'n uinnag fosley da'n cheu mooie.
The window is bright in the west.|Ta'n uinnag sollys ayns y sheear.
There's a nip in the air.|Ta eean y ghob jiarg mooie jiu.
There's bad blood between them.|Ta shenn noidys eddyr oc.
There's a catch in in somewhere.|Ta cluge ayn boayl ennagh.
There's a hundred pence go to the pound.|Ta keead ping 'sy phunt.
There's a fine apple for you.|Er hen ooyl vraew dhyt.
There's money in it.|Ta argid ry gheddyn ass.
There's nothing doing.|Ta'n margey marroo.
There's nothing for it but to go.|Cha nel yn derrey reih ayn agh dy gholl.
There's not enough to go round.|Cha nel dy liooar ayn da dy chooilley pheiagh.
There's no object in doing that.|Cha nel oyr ayn shen y yannoo.
There's no getting away from it.|Cha nel scapail ayn.
There's no end to it.|Cha nel jerrey erbee er. 
There's no point in saying it.|Cha nel keeayl erbee ayns gra eh.
There's not enough to go round.|Cha nel cooid ronney ayn.
There's not a morsel of bread in the house.|Cha nel greim d'arran 'sy thie.
There's not a damn thing done yet.|Cha nel red mollaghtagh jeant foast.
There wasn't a living soul left alive.|Cha row peccagh bio faagit bio.
There was some question of money.|Va keisht ennagh mychione argid ayn.
There wasn't a sinner to be seen.|Cha row fer ry akin.
There were a number of them there.|Va cooid jeu ayn.
There wasn't an entire window in the house.|Cha row uinnag slane 'sy thie.
There wasn't a word uttered by them.|Cha row fockle focklit oc.
There was singing and dancing.|Va daunsin as kiaulleeaght ayn.
There was nothing.|Cha row jalloo.
There was not much to be heard.|Cha row monney ry chlashtyn.
There was not a house to be seen.|Cha row thie erbee ry akin.
There was only a poor attendance.|Cha row agh beggan sleih ayn.
There were a thousand there.|Va jeih keead ayn.
There would be cause for fear.|S'aggle.
There will not be much return.|Cha bee monney cur stiagh ayn.
There would be no objection to your writing it.|Cha beagh bac ort screeu eh.
There you have it.|Sheh eh dhyt.
There wouldn't be a scantiness.|Cha beagh dulley ayn.
There were upwards of twenty.|Va ny smoo na feed ayn.
There were several people there.|Va feallagh ny ghaa ayn.
There were persons other than you there.|Va sleih elley aynshen agh oo hene.
There were crowds of people there.|Va chionnal mooar ayns shen.
There were six of us.|Va shey j'in ayn.
There were twenty people all told.|Va feed sleih ayn ooilley cooidjagh.
There were sounds proceeding from the room.|Va sheeanyn cheet ass yn chamyr.
They are all part of the creation.|Ta'd ooilley paart jeh'n chroo.
They are all in good order.|T'ad ooilley ayns stayd mie.
Therein lies the anger.|Ayns shen ta'n contoyrt.
Thermal spring.|Chibbyr heh.
These are early days yet.|T'ad shoh foast laghyn toshee.
These agreements make for peace.|Ta ny coardailyssyn shoh cooney lesh shee.
These 'planes are good climbers.|Ta ny hetlanyn shoh mie dy ardjaghey.
There's time enough.|Ta traa dy lioar ayn.
These are my parts.|T'ad shoh ny ronnaghyn aym pene.
These shoes are odd.|Ta ny braagyn shoh neuchorrym.
These things are not done.|Cha nel eh yn cliaghtey.
These are the facts.|T'ad shoh ny feeridyn.
These are the broad facts.|Er hoh craueyn y skeeal.
These are my views on it.|T'ad shoh my huarymyn er.
These are the principal contents.|T'ad shoh yn ard-chummal
These are your rights.|Shoh yn chair eu.
There is no sense in that.|Cha nel keeall erbee lesh shen.
There is none better.|Cha nel ny share ayn.
There is no room for doubt.|Cha nel ourys erbee 'sy skeeal.
There is no mistaking it.|Cha nel ourys erbee er.
There is no getting out of it.|Cha nel raad erbee magh ass.
There is no force in what you are saying.|Cha nel bree ayns shen ny ta shiu gra.
There is no one to stop him.|Cha nel peiagh erbee ayn dy lhiettal eh.
There is no reason in it.|Cha nel keeayll ayn.
There is no question of his returning.|Cha nel caa erbee dy jig eh er ash.
There is no question about it.|Cha nel ourys erbee ayn.
There is not a breath of wind.|Cha nel geay erbee ayn.
There is nothing.|Cha nel veg ayn.
There is not the slightest opportunity.|Cha nel y caa sloo ayn.
There is not the shadow of a suspicion.|Cha nel blayst ourys ayn.
There is nothing for it but to go.|Cha nel red erbee ry yannoo agh dy gholl.
There is nothing to choose between them.|T'ad myr y cheilley.
There is nothing to choose between them.|Cha nel veg eddyr oc.
There is nothing left but ruins.|Cha nel veg faagit agh tholtanyn.
There is not the ghost of a suspicion.|Cha nel blayst ourys ayn.
There is not a scrap.|Cha vel monney.
There is not a living soul on the island.|Cha nel beaghagh erbee er yn ellan.
There is not much communication between them.|Cha nel monney dellal eddyr oc.
There is not much.|Cha nel cooid vooar ayn.
There is a threat of rain.|Ta fliaghey baggyrt.
There is a story going round.|Ta skeeal ayn.
There is a smell coming off it.|Ta soar jeh.
There is a thunderstorm brewing.|Ta sterrym taarnee troggal.
There is a yellow streak in him.|Ta'n chray wuigh ayn.
There is a slant on it.|Ta sceau er.
There is a page out of my book.|Ta duillag ass my lioar.
There is a northwest wind today.|Ta geay neear hwoaie ayn jiu.
There is a moon tonight.|Ta eayst ayn noght.
There is a paucity of news.|S'beg yn naight t'ayn.
There is a shepherd with the sheep.|Ta bochilley er ny kirree.
There is a price on his head.|Ta feeagh folley er.
There is an adverse camber on the road at that corner.|Ta dromman voyd er y 
raad ec y chorneil shen.
There is no doing it.|Cha nel eh ry yannoo.
There is no case against him.|Cha nel cooish erbee noi echey.
There is no advantage for you to go.|Cha lhiass dhyt goll.
There is no doubt at all about it.|Cha nel ourys erbee mychione echey.
There is no fight left in him.|Cha nel tooilley cree ayn.
There is no fear of you.|Chan aggle dhyt.
There is no fear of him yet.|Chan aggle da foast.
There is neither rhyme nor reason in it.|T'eh ooilley pishyr-phoddash.
There is deep concern about them.|Ta imnea vooar ayn my nyn gione.
There is an atmosphere of evil about it.|Ta cummey olkys ayn.
There is an air of sadness here.|Ta cummey trimshey aynshoh.
There is friction between them.|Cha nel ad coardit ry-cheilley.
There is neither rhyme nor reason in it.|Cha nel rick ny resoon ayn.
There is more in it than meets the eye.|Ta tooilley ayn na ta ry akin.
There was a landslide from the party.|Hreig yn sleih yn partee.
There was a slight wind.|Va geay eddrym ayn.
There was a rush for the doors.|Va ratch hug ny dorryssyn.
There was a run on the bank.|Va roie er y vanc.
There was a heap of people there.|Va ram sleih ayn.
There was a car in front of the house.|Va gleashtan roish y thie.
There was a car in front of the house.|Va gleashtan beealloo yn thie.
There was a big flap on.|Va musthaa mooar ayn.
There was a change for the better.|Va bishagh ayn.
There was a general movement towards the door.|Ren ad ooilley gleashagh lesh y dorrys.
There was a gang of them their.|Va ram jeu ayns shen.
There was a dead silence.|Cha row fockle ass fer erbee.
There was no great damage done.|Cha row monney jeeyl jeant.
There was no end of people there.|Va ram sleih ayns shen.
There was next to no evidence.|Cha row feanish erbee ayn bunnys.
There was no holding him.|Cha row lhiettalys ry-chur er.
There was no work to be had.|Cha row obbyr ayn.
There was no sign of him.|Cha row eh ry akin.
There was no lack of money there.|Cha row dolley argid ayns shen.
There was an exodus from the room.|Dolmee yn shamyr.
There was an attempt on his life.|Va soiaghey jeant er yn vioys echey.
There was an addition.|Va tooilley ayn.
There was an exodus from the room.|Va immeeaght ayn voish y chamyr.
There was naught to be seen.|Cha row veg ry akin.    
There is some good in him.|Ta mienys ennagh echey.
There is smoke coming from it.|Ta jaagh cheet jeh.
There is some talk of his returning.|T'eh raait dy jig eh er ash.
There is something bobbing on the water.|Ta red ennagh snuggal er yn ushtey.
There is something afoot.|Ta red ennagh er-chosh.
There is room there for you and him.|Ta reamys ayns shen dasyn as dhyts.
There is nothing to laugh at.|Cha nel cooish ghearey ayn.
There is nothing to it.|T'eh feer aashagh.
There is nothing to it.|Cha nel eh feeu cheet er.
There is plenty of intrigue.|Ta palchey ushtey fo halloo.
There is room for you and me.|Ta reamys ayn dhyts as dooys.
There is rather a lot here.|Ta ram aynshoh.
There is plenty of room.|Ta reamys dy liooar.
There is something brewing.|Ta red ennagh er-chosh.
There never was one.|Cha row rieau y lhied ayn.
There it is.|Er hen eh.
There once lived a king.|Va ree ayn keayrt dy row.
There was a big crowd of birds in the field.|Va niart dy eeanlee 'sy vagher.
There the matter dropped.|Ayns shen daag shin y chooish.
There isn't any butter.|Cha nel eeym ayn.
There is something in what you say.|Ta cooid jeh'n chiart ayd.
There is something in the air.|Ta red ennagh er-chosh.
There is something in the air.|Ta red ennagh 'sy gheay.
There is thunder in the air.|Ta taarnagh mygeayrt.
There is the house.|Shen y thie.
There is the house.|Er hen y thie.
This affair was all the more sad because of that.|Va'n chooish shoh wheesh shen s'trimshee er yn oyr shen.
Things that can not fail to be seen.|Reddyn nagh vod shiu agh fakin.
Things over which we have no control.|Reddyn nagh vel niart ain orroo.
Things have turned out well.|Ta reddyn er jeet lhien.
This cold goes through me.|Ta'n feayraght shoh goll stiagh gys ny craueyn aym.
This coat lasted me two years.|Hooar mee daa vlein ass y chooat shoh.
This book made him.|Hug yn lioar shoh er bun eh.
This branded him for life.|Hug shoh drogh ennym er cour e vea.
Thing are going along all right.|Ta reddyn goll er nyn doshiaght mie dy liooar.
Things came to a climax.|Haink reddyn gys baare.
Things are taking a turn for the better.|Ta reddyn shareaghey.
Things are proceeding well.|Ta reddyn goll er nyn doshiaght dy mie.
Things didn't pan out well.|Cha daink reddyn dy mie.
Things have come to such a pass.|Ta reddyn er jeet gys lhied y kione.
Things go awry.|Ta reddyn goll fragym.
Things fell out well, as it happened.|Haghyr reddyn dy mie, myr haghyr eh.
Things are not what they used to be.|Cha nel yn seihll myr v'eh.
Things are getting lively.|Ta bioyrid cheet 'sy chooish.
Things are getting better.|Ta reddyn couyral.
Things are clicking together for me.|Ta reddyn cheet lhiam.
Things are going all anyhow.|Ta reddyn goll bun-ry-skyn.
Things are improving now.|Ta reddyn bishaghey nish.
Things are going strong.|Ta reddyn goll dy dunnal.
Things are going all anyhow.|Ta reddyn goll fud-y-cheilley.
This is for your observation.|Ta shoh son dty vaght.
This is for real.|Ta shoh rieugh.
This is exactly as good as that.|Ta shoh kiart cha mie as shen.
This is burdening me.|Ta shoh ny lhie trome orrym.
This is a new departure.|Ta shoh cooish noa.
This is a good time to go.|Ta shoh caays mie dy gholl.
This is a very exposed place.|Ta'n boayl shoh gyn fastee erbee.
This is brighter than that.|Ta shoh ny s'gilley na shen.
This is a vicious circle.|Ta shoh kiarkyl olk.
This is for your own attention.|Ta shoh son dty gheill hene.
This is most important.|Ta shoh feer scanshoil.
This is my point of view.|Shoh my varels.
This is how the song goes.|Myr shoh ta'n arrane.
This is hers.|Lheeish eh shoh.
This is fresh water.|Ta shoh far-ushtey.
This is how the word is pronounced.|Myr shoh ta'n fockle er ny 'ockley.
This is it.|Shoh eh.
This is it.|Er hoh eh.
This is how the word is pronounced.|Myr shoh ta'n fockle focklit.
This excludes all possibilities of doubt.|Ta shoh giarrey magh ourys erbee.
This evening.|Fastyr jiu.
This here.|Shoh.
This goes before that.|Ta shoh roish shen.
This gentleman knows Manx.|Ta Gaelg ec y dooinney ooasle shoh.
This equals that.|Ta shoh corrym rish shen.
This day twelvemonth.|Blein voish nish.
This day twelvemonth.|Blein er dy henney.
This drink is on the house.|Jough yn thie ee shoh.
This doesn't answer my purpose.|Cha nel shoh freggyrt rish my chiarail.
This day week.|Shiaghtin jiu.
This house commands a good view.|Ta reayrt mie ass yn thie shoh.
This is a deuce of a mess.|Ta shoh brock agglagh.
This house is yours.|S'lhiats y thie shoh.
This house is yours.|Lhiats yn thie shoh.
This is a dirty business.|Ta shoh obbyr ghraney.
This is a good time to go.|Ta shoh caa mie dy gholl.
This is a good brew.|Ta shoh imbyl mie.
This is a god-forsaken place.|Ta shoh y boayl jerrinagh ren Jee.
Time for bed.|Traa ny lhiabbagh.
This presents some difficulty.|Ta doilleeid ennagh ayn.
This sheds a light on it.|Ta shoh ceau soilshey er.
This rumour is afloat again.|Ta'n fou shoh troggal e chione reesht.
This room is reeking of smoke.|Ta torcan dy hombaacey 'sy chamyr shoh.
This time next year.|Blein voish y traa t'ayn nish.
This time last year.|Yn traa shoh nurree.
This is whereon we differ.|She er shoh nagh vel shin ayns coardailys.
This is what comes of paying beforehand.|Ta shoh yn eiyrtys jeh geeck rolaue.
This is worse and worse.|Ta shoh ny s'messey as ny s'messey.
This is your right.|Shoh yn chair ayds.
This is the burning question.|Ta shoh yn ard-eysht.
This is right.|Ta shoh cairagh.
This is the last of it.|Ta shoh yn jerrey jeh.
This is the main issue.|Ta shoh yn chooish hoshee.
This makes the tenth time.|Shoh yn jeihoo keayrt.
This Manx word is derived from Irish.|Ta'n fockle Gaelgagh shoh cheet magh ass y Yernish.
This money is most welcome.|Ta failt vooar roish yn argid shoh.
This mortal life.|Yn vea varvaanagh. shoh.
This monument was erected by her.|Va'n lhiaght shoh er ny hroggal lioree.
This law aims at altering it.|Ta'n slattys shoh geearree eh y chaghlaa.
Those were his exact words.|V'ad shen ny focklyn haink ass yn veeal echey.
Thousands of people.|Millaghyn dy 'lieh.
Thought is free.|Cha nel streean er smooinaghtyn.
This will awaken him to the danger.|Ver shoh toiggalys da jeh'n danjeyr.
This will distinguish the men from the boys.|Nee shoh cowraghey ny deiney as ny guillyn.
This will bridge the gap temporarily.|Lhieenee shoh yn varney son y traa t'ayn.
Those are the errors to which I am most prone.|T'ad shen ny marranyn huic ta mee ny smoo croymmey.
Those are my terms.|Ad shoh my chor.
Those days are past.|Ta ny laghyn shen ceaut.
Two wrongs do not make a right.|Cha ren rieau daa vreag y firrinys.
What he says is true.|Ta'n firrinys echey.
What I say goes.|Mish dy ghra as adsyn dy yannoo eh.
What I have written I have written.|Ny ta scruit aym t'eh scruit.
What is done cannot be undone.|Shen ta jeant t'eh jeant.
What is ours is yours.|Ny ta lhiens t'eh lhieuish.
What is mine is thine.|Ny ta lhiams, s'lhiats.
What a funny idea.|Cre'n smooinaght aitt.
Upon my honour.|Er m'ockle.
We agreed to differ.|Daag shineddyr ain eh.
Wait for me.|Fuirree orrym.
Wait awhile.|Fuirree dreayst.
Wait awhile.|Fuirree tammylt.
Wait a little while.|Fuirree rish tammylt beg.
Wait until I come.|Fuirree derrey higym.
Yes indeed.|She dy jarroo.
Yes indeed.|Gyn ourys.
You've hit the nail on the head.|T'ou er chur dty vair er.
You've guessed it.|T'eh er ny ghra ayd.
You will pay dearly for that.|Eeckee oo son shen.
You won't catch me doing that again.|S'beg yn gaue orrym shen y yannoo reesht.
You will turn me mad.|Ver oo mee  ass my cheeayl.
You will suffer for it.|Eeckee oo er e hon.
You will learn by experience.|Bee'n cliaghtey vondeishagh dhyt.
You will get plenty of use out of it.|Yiow oo lane claght ass.
You'll catch your death if you go out in this.|Gowee oo gorley dty vaaish my hed oo magh ayns shoh.
You will have to manage with that.|Shegin da shen jannoo dhyt.
You're welcome.|Dy jig eh lhiat.
You're welcome.|Gura milley mie ayd.
You've got to do it now.|Shegin dhyt jannoo eh nish.
You would do well to keep quiet.|Bare dhyt ve dty host.
You'll be the death of me.|Ver oo baase orrym.
Your wishes have been complied with.|T'eh er ve jeant rere dty yeearreeyn.
You have had your money's worth.|Ta leagh dty chooid argid ayd.
You have landed us in a nice fix.|Ta shin ayns cront cast ayd.
You have no call to do so.|Cha nel eh orts dy yannoo eh.
You have made it flat.|T'ou er n'yannoo braghtan jeh.
You have made a mess of it.|T'ou er n'yannoo brock jeh.
You have an advantage over me.|Ta vondeish ayd orrym.
You have a wide choice.|Ta reih as teiy ayd.
You have a long way to go.|Ta raad liauyr royd.
You have been up to your old tricks.|Ta'n chenn chleaysaght ort reesht.
You have no choice.|Cha nel eh dty reih hene.
You know best.|Ta fys share ayd.
You know the secrets of our hearts.|Shione dhyt folliaghtyn ny creeaghyn ain.
You know how I love you.|Ta fys ayd c'wooad ta my ghraih ort.
You know full well.|Ta lane yss ayd.
You have the lead.|Lhiat's yn choyrt.
You have reason to be worried.|Ta oyr boirey ayd.
You have permission to go tomorrow.|Ta kied eu goll mairagh.
You have only yourself to thank for that.|Cha nel peiagh erbee elley agh oo hene ren eh.
You have surpassed yourself.|Ren oo ny share na rieau.
You have the law on your side.|Ta'n leigh lhiat.
You have the advantage of me.|Ta laue yn eaghtyr ayd orrym.
You could see that with half an eye.|Oddagh oo fakin shen dy beagh oo doal.
You cut the bonds between us and them.|Yiare oo ny boandaghyn eddyr shinyn as adsyn.
You did well.|Ren oo dy mie.
You did right.|Ren oo dy kiart.
You did wrong.|Ren oo olk.  
You can go home now.|Ta kied ayd goll thie nish.
You can't have it both ways.|Cha nod oo goaill y sheh marish ny h-eairkanyn.
You go on ahead of me.|Er oai lhiat roym.
You go first.|Uss hoshiaght.
You had to look ahead.|B'egin dhyt jeeaghyn royd.
You had better speak to him than write.|Share dhyt loayrt rish na screeu huggey.
You fly it now.|Stiur eh oo hene nish.
You do not understand how the bones are formed.|Cha vel toiggal ayd kys ta ny craueyn goll er kiaddey.
You do it like this.|T'ou jannoo eh myr shoh.
You didn't remember.|Cha by chooinee lhiu.
You don't catch me.|Cha nel ollan orryms.
You don't know when you are well off.|T'ou sauchey dy liooar as cha nel fys ayd er.
You simply must go.|Cha nel eh ort agh dy gholl.
You should have told me beforehand.|By cair dhyt ginsh dou rolaue.
You simply must go.|Shegin dhyt goll royd.
You stand convicted by your own words.|Ass dty veeal hene t'ou dy dty gheyrey.
You speak first, I'll speak later.|Loayr uss hoshiaght, loayryms dty yei.
You shall not marry her.|Cha boose oo r'ee.
You shall pay for this.|Eeckee oo son shoh.
You should do it at once.|Lhisagh oo jannoo eh chelleeragh.
You should do it at once.|By chair dhyt eh y yannoo kiart nish.
You shan't have it.|Cha now oo eh.
You were quite right.|V'ou slane kiart.
You will be punished for that.|Yiow oo cooilleeney son shen.
You will be punished for that.|Ta slat ayns moon fuirraghtyn rhyt son shen.
You were born under a lucky star.|Rug yn aigh mayrt.
You surprise me.|T'ou cur yindys orrym.
You still have a good way to go.|Ta foast raad liauyr ayd ry-gholl.
You may depend on it.|Foddee oo ve shickyr jeh.  
You may as well.|T'eh chammah ayd.
You may leave us.|Immee royd my sailliu.
You might do worse.|Oddagh oo jannoo ny s'messey.
You may talk until you are blue in the face.|Foddee oo loayrt derrey hig yn annym assyd.
You may rest assured.|Ta mee dy dty hickyraghey.
You made a good attempt at it.|Hug oo eab mooar er.
You little know when the time will come.|S'beg shione dhyt tra hig yn traa.
You look well.|Ta shiu jeeaghyn dy mie.
You look simply lovely.|T'ou aalin erskyn insh.
You must accustom yourself to it.|Shegin dhyt cliaghtey oo hene rish.
You only.|Uss dty lomarcan.
You need not have gone.|Cha b'lhiass diu goll.
You ought to be ashamed of yourself.|By chair dhyt nearey ve ort.
You see.|Hee oo.
You owe me a pound.|Ta punt ayd orrym.
You ought to be ashamed of yourself.|By chair dhyt ve neareydagh jeed hene.
You need not go.|Cha lhiass diu goll.
You must have been tired.|Gyn ourys va shiu skee.
You must die.|Shegin dhyt gheddyn baase.
You must not go.|Shegin dhyt dyn goll.
You must put up with your life.|Lesh dty vioys shegin jannoo.
You must obey me.|Shegin dhyt bial hym.
Where there is love there is harmony.|Raad ta graih ayn ta coardailys ayn.
Where there is no fear there is no grace.|Boayl nagh vel aggle nagh vel grayse.
Where there's women there's prattle.|Boayl ta mraane ta pleat ayn.
Where there's geese there's shit.|Boayl ta guoiee ta keck ayn.
Where the two rivers meet.|Ec cochiangle yn daa awin.
Where he died.|Boayl hooar eh baase.
Where I was born.|Raad va mee ruggit.
Wherever you throw it, it stands.|Raad erbee cheauys oo eh, hassys eh.
Wherever he goes he prospers.|Boayl erbee t'eh goll ta reddyn cheet lesh.
Whether he comes or not.|Lhig da cheet ny dyn.
Whether it be good or bad.|Lhig da ve mie ny sie.
Make haste.|Jean siyr.
Study your lessons.|Ynsee nyn lessoonyn.
Let us work well to-day.|Lhig dooin gobbraghey dy-mie jiu.
Don't forget anything.|Ny jarrood red erbee.
Let us thank God.|Lhig dooin cur booise da Jee.
Don't disobey me.|Ny bee meeviallagh hym.
You ought to have been more polite.|Lhisagh shiu er ve ny s'cooyrtoiley.
This news is incredible.|Ta'n naight shoh anchredjuagh.
This report is false.|Ta'n fou shoh foalsey.
This is a dangerous habit.|Ta'n oash shen danjeyragh.
Those words are deceptive.|Ta ny focklyn shen molteyragh.
Don't say such things.|Ny abbyr lheid ny reddyn.
